logg,Teff,Z,L/HP,aLSM,bLSM,aPCM,bPCM,chi2,Type,Mod
3.0,2900,0.0,2.0,0.2489,0.4926,0.1345,0.7738,0.2039,q,PC
3.5,2900,0.0,2.0,0.2025,0.4948,0.1066,0.7331,0.2048,q,PC
4.0,2900,0.0,2.0,0.1859,0.5026,0.1271,0.6625,0.2135,q,PC
4.5,2900,0.0,2.0,0.1863,0.5198,0.1598,0.6141,0.2236,q,PC
5.0,2900,0.0,2.0,0.1998,0.5387,0.2016,0.5762,0.229,q,PC
5.5,2900,0.0,2.0,0.2275,0.552,0.2491,0.5496,0.2248,q,PC
6.0,2900,0.0,2.0,0.2702,0.5468,0.3018,0.5216,0.2018,q,PC
2.5,3000,0.0,2.0,0.4018,0.4459,0.2996,0.7064,0.1811,q,PC
3.0,3000,0.0,2.0,0.2654,0.4844,0.1582,0.7492,0.2011,q,PC
3.5,3000,0.0,2.0,0.2018,0.4909,0.1094,0.7219,0.2108,q,PC
4.0,3000,0.0,2.0,0.1764,0.4908,0.1125,0.6609,0.2144,q,PC
4.5,3000,0.0,2.0,0.1693,0.5023,0.1326,0.6171,0.2244,q,PC
5.5,3000,0.0,2.0,0.1933,0.5347,0.2085,0.5462,0.2396,q,PC
6.0,3000,0.0,2.0,0.223,0.543,0.2539,0.522,0.2304,q,PC
2.5,3100,0.0,2.0,0.477,0.4006,0.3903,0.6244,0.166,q,PC
3.0,3100,0.0,2.0,0.2884,0.4757,0.1875,0.7269,0.1982,q,PC
3.5,3100,0.0,2.0,0.2131,0.4819,0.1178,0.7188,0.2074,q,PC
4.0,3100,0.0,2.0,0.1758,0.4812,0.1066,0.6622,0.215,q,PC
4.5,3100,0.0,2.0,0.1621,0.4852,0.1173,0.6158,0.2214,q,PC
5.0,3100,0.0,2.0,0.1606,0.4974,0.1454,0.5684,0.2322,q,PC
5.5,3100,0.0,2.0,0.1709,0.5136,0.1788,0.5393,0.2429,q,PC
6.0,3100,0.0,2.0,0.1894,0.5286,0.2149,0.5196,0.2452,q,PC
2.5,3200,0.0,2.0,0.4573,0.3914,0.3584,0.6454,0.2009,q,PC
3.0,3200,0.0,2.0,0.3305,0.4512,0.2334,0.6938,0.1894,q,PC
3.5,3200,0.0,2.0,0.2355,0.4668,0.1353,0.7134,0.2006,q,PC
4.0,3200,0.0,2.0,0.1874,0.466,0.1092,0.6643,0.2076,q,PC
4.5,3200,0.0,2.0,0.1618,0.47,0.1085,0.617,0.2169,q,PC
5.0,3200,0.0,2.0,0.1533,0.4776,0.1298,0.5642,0.2263,q,PC
5.5,3200,0.0,2.0,0.1567,0.492,0.1569,0.532,0.2383,q,PC
6.0,3200,0.0,2.0,0.1711,0.5075,0.1905,0.5097,0.2438,q,PC
2.5,3300,0.0,2.0,0.467,0.3612,0.3491,0.661,0.2077,q,PC
3.0,3300,0.0,2.0,0.3756,0.4071,0.2719,0.6637,0.1898,q,PC
3.5,3300,0.0,2.0,0.2632,0.4472,0.163,0.6939,0.2035,q,PC
4.0,3300,0.0,2.0,0.205,0.4477,0.1209,0.6571,0.1998,q,PC
4.5,3300,0.0,2.0,0.171,0.4514,0.1098,0.6127,0.2055,q,PC
5.0,3300,0.0,2.0,0.1529,0.4604,0.1211,0.5625,0.2175,q,PC
5.5,3300,0.0,2.0,0.1496,0.472,0.1423,0.5255,0.228,q,PC
6.0,3300,0.0,2.0,0.1543,0.4899,0.1671,0.5041,0.2388,q,PC
2.5,3400,0.0,2.0,0.4705,0.3374,0.3396,0.6688,0.2383,q,PC
3.0,3400,0.0,2.0,0.4023,0.348,0.2783,0.6474,0.202,q,PC
3.5,3400,0.0,2.0,0.3037,0.3998,0.194,0.6633,0.1839,q,PC
4.0,3400,0.0,2.0,0.2271,0.4253,0.1393,0.6407,0.1911,q,PC
4.5,3400,0.0,2.0,0.1819,0.4364,0.1163,0.6052,0.1973,q,PC
5.0,3400,0.0,2.0,0.1555,0.4459,0.1168,0.5606,0.2078,q,PC
5.5,3400,0.0,2.0,0.1442,0.4583,0.1315,0.5213,0.2192,q,PC
6.0,3400,0.0,2.0,0.1401,0.4779,0.1481,0.5011,0.2334,q,PC
2.5,3500,0.0,2.0,0.5016,0.2768,0.3472,0.6581,0.2187,q,PC
3.0,3500,0.0,2.0,0.4598,0.2736,0.32,0.603,0.1729,q,PC
3.5,3500,0.0,2.0,0.3449,0.3477,0.2259,0.6279,0.1738,q,PC
4.0,3500,0.0,2.0,0.2536,0.3933,0.1591,0.62,0.1746,q,PC
4.5,3500,0.0,2.0,0.1959,0.4178,0.125,0.5959,0.185,q,PC
5.0,3500,0.0,2.0,0.1604,0.4325,0.1163,0.5566,0.1975,q,PC
5.5,3500,0.0,2.0,0.1394,0.4478,0.1223,0.5185,0.2116,q,PC
6.0,3500,0.0,2.0,0.1293,0.4665,0.1332,0.497,0.2285,q,PC
2.5,3600,0.0,2.0,0.5324,0.2372,0.3698,0.6348,0.219,q,PC
3.0,3600,0.0,2.0,0.5251,0.1949,0.3719,0.5484,0.1491,q,PC
3.5,3600,0.0,2.0,0.4001,0.2854,0.271,0.5828,0.1433,q,PC
4.0,3600,0.0,2.0,0.2865,0.3586,0.1867,0.5933,0.1571,q,PC
4.5,3600,0.0,2.0,0.2125,0.3984,0.1365,0.5847,0.1711,q,PC
5.0,3600,0.0,2.0,0.1671,0.4201,0.1184,0.552,0.1862,q,PC
5.5,3600,0.0,2.0,0.139,0.438,0.1182,0.5151,0.2023,q,PC
6.0,3600,0.0,2.0,0.1198,0.4593,0.1203,0.496,0.2235,q,PC
2.5,3700,0.0,2.0,0.5624,0.2059,0.3946,0.6121,0.1962,q,PC
3.0,3700,0.0,2.0,0.5627,0.1516,0.4031,0.517,0.1308,q,PC
3.5,3700,0.0,2.0,0.4622,0.2268,0.3295,0.5279,0.1224,q,PC
4.0,3700,0.0,2.0,0.329,0.3207,0.2264,0.5584,0.1391,q,PC
4.5,3700,0.0,2.0,0.2315,0.3808,0.1528,0.5709,0.1597,q,PC
5.0,3700,0.0,2.0,0.1737,0.4118,0.1222,0.5482,0.1777,q,PC
5.5,3700,0.0,2.0,0.139,0.4303,0.1153,0.5123,0.1942,q,PC
6.0,3700,0.0,2.0,0.1152,0.4527,0.1134,0.4936,0.2178,q,PC
2.5,3800,0.0,2.0,0.5833,0.1816,0.4068,0.6034,0.1383,q,PC
3.0,3800,0.0,2.0,0.5789,0.1392,0.4177,0.5061,0.1122,q,PC
3.5,3800,0.0,2.0,0.5138,0.1844,0.3815,0.4817,0.106,q,PC
4.0,3800,0.0,2.0,0.3809,0.2823,0.2796,0.5145,0.1243,q,PC
4.5,3800,0.0,2.0,0.2581,0.3609,0.1785,0.5512,0.1484,q,PC
5.0,3800,0.0,2.0,0.1828,0.4015,0.1289,0.5416,0.1696,q,PC
5.5,3800,0.0,2.0,0.14,0.4242,0.1144,0.5092,0.1885,q,PC
6.0,3800,0.0,2.0,0.1126,0.4451,0.1084,0.4902,0.2122,q,PC
2.5,3900,0.0,2.0,0.5718,0.2059,0.403,0.6111,0.1446,q,PC
3.0,3900,0.0,2.0,0.5797,0.1409,0.4163,0.5109,0.0938,q,PC
3.5,3900,0.0,2.0,0.5608,0.1375,0.4232,0.4418,0.0829,q,PC
4.0,3900,0.0,2.0,0.4293,0.2388,0.3257,0.4729,0.107,q,PC
4.5,3900,0.0,2.0,0.2946,0.3316,0.2141,0.5215,0.1346,q,PC
5.0,3900,0.0,2.0,0.1991,0.3902,0.1447,0.5307,0.163,q,PC
5.5,3900,0.0,2.0,0.1448,0.4156,0.1176,0.5031,0.1827,q,PC
6.0,3900,0.0,2.0,0.1131,0.4365,0.1064,0.4855,0.2057,q,PC
2.5,4000,0.0,2.0,0.5595,0.2153,0.3868,0.6286,0.1236,q,PC
3.0,4000,0.0,2.0,0.5648,0.1617,0.405,0.5246,0.0982,q,PC
3.5,4000,0.0,2.0,0.5678,0.1357,0.4334,0.4337,0.0871,q,PC
4.0,4000,0.0,2.0,0.4764,0.2025,0.3734,0.4329,0.0933,q,PC
4.5,4000,0.0,2.0,0.339,0.2994,0.2602,0.4841,0.1256,q,PC
5.0,4000,0.0,2.0,0.226,0.3679,0.1704,0.5091,0.1542,q,PC
5.5,4000,0.0,2.0,0.1569,0.4038,0.1283,0.4931,0.1762,q,PC
6.0,4000,0.0,2.0,0.1188,0.4219,0.1091,0.4757,0.1959,q,PC
2.5,4100,0.0,2.0,0.5456,0.2213,0.3667,0.6477,0.1095,q,PC
3.0,4100,0.0,2.0,0.5468,0.1797,0.3876,0.5419,0.102,q,PC
3.5,4100,0.0,2.0,0.5505,0.1543,0.4182,0.4488,0.0922,q,PC
4.0,4100,0.0,2.0,0.5164,0.1702,0.4128,0.399,0.0814,q,PC
4.5,4100,0.0,2.0,0.3955,0.2618,0.3189,0.4391,0.1094,q,PC
5.0,4100,0.0,2.0,0.2673,0.3371,0.211,0.4777,0.1415,q,PC
5.5,4100,0.0,2.0,0.1783,0.3879,0.1492,0.4772,0.1697,q,PC
6.0,4100,0.0,2.0,0.1287,0.4111,0.1175,0.4669,0.1891,q,PC
2.5,4200,0.0,2.0,0.529,0.231,0.3465,0.6654,0.1109,q,PC
3.0,4200,0.0,2.0,0.5304,0.1909,0.3693,0.5575,0.1045,q,PC
3.5,4200,0.0,2.0,0.536,0.1638,0.4017,0.4623,0.091,q,PC
4.0,4200,0.0,2.0,0.5369,0.1494,0.4318,0.3802,0.0815,q,PC
4.5,4200,0.0,2.0,0.4429,0.2201,0.3648,0.3974,0.0964,q,PC
5.0,4200,0.0,2.0,0.3163,0.3025,0.2603,0.4401,0.1292,q,PC
5.5,4200,0.0,2.0,0.216,0.3515,0.1824,0.4463,0.1485,q,PC
6.0,4200,0.0,2.0,0.1468,0.3947,0.1335,0.4532,0.1794,q,PC
2.5,4300,0.0,2.0,0.512,0.2422,0.3271,0.6817,0.1152,q,PC
3.0,4300,0.0,2.0,0.5172,0.1959,0.3518,0.5711,0.099,q,PC
3.5,4300,0.0,2.0,0.5218,0.1719,0.3857,0.4744,0.0913,q,PC
4.0,4300,0.0,2.0,0.5255,0.1538,0.419,0.3883,0.085,q,PC
4.5,4300,0.0,2.0,0.4834,0.1895,0.405,0.3646,0.0843,q,PC
5.0,4300,0.0,2.0,0.3713,0.2687,0.3163,0.4013,0.1136,q,PC
5.5,4300,0.0,2.0,0.2551,0.3385,0.2252,0.4255,0.1479,q,PC
6.0,4300,0.0,2.0,0.1735,0.3746,0.1583,0.4349,0.1683,q,PC
2.5,4400,0.0,2.0,0.4951,0.2532,0.3083,0.697,0.1191,q,PC
3.0,4400,0.0,2.0,0.5029,0.2035,0.3353,0.5829,0.099,q,PC
3.5,4400,0.0,2.0,0.5081,0.1789,0.3697,0.4861,0.0917,q,PC
4.0,4400,0.0,2.0,0.5143,0.1598,0.4062,0.3975,0.0851,q,PC
4.5,4400,0.0,2.0,0.5098,0.1592,0.4274,0.3401,0.077,q,PC
5.0,4400,0.0,2.0,0.4223,0.2217,0.3625,0.3598,0.0919,q,PC
5.5,4400,0.0,2.0,0.3054,0.3008,0.2733,0.3891,0.131,q,PC
6.0,4400,0.0,2.0,0.207,0.3605,0.1925,0.4181,0.1596,q,PC
2.5,4500,0.0,2.0,0.4794,0.2623,0.2902,0.7112,0.1228,q,PC
3.0,4500,0.0,2.0,0.489,0.2085,0.3183,0.5943,0.098,q,PC
3.5,4500,0.0,2.0,0.4942,0.1866,0.3537,0.4982,0.0917,q,PC
4.0,4500,0.0,2.0,0.5021,0.1649,0.3912,0.4083,0.0819,q,PC
4.5,4500,0.0,2.0,0.5037,0.1581,0.4203,0.3414,0.0794,q,PC
5.0,4500,0.0,2.0,0.4589,0.199,0.3991,0.3346,0.0818,q,PC
5.5,4500,0.0,2.0,0.3558,0.2717,0.3233,0.358,0.1153,q,PC
6.0,4500,0.0,2.0,0.2506,0.3297,0.2337,0.3894,0.1437,q,PC
2.5,4600,0.0,2.0,0.4649,0.2692,0.2725,0.7251,0.1255,q,PC
3.0,4600,0.0,2.0,0.4739,0.2197,0.3026,0.6071,0.1012,q,PC
3.5,4600,0.0,2.0,0.4802,0.1941,0.3374,0.5107,0.0923,q,PC
4.0,4600,0.0,2.0,0.4884,0.1727,0.3758,0.4198,0.0823,q,PC
4.5,4600,0.0,2.0,0.4913,0.1645,0.4064,0.3508,0.078,q,PC
5.0,4600,0.0,2.0,0.4827,0.1727,0.4188,0.314,0.0738,q,PC
5.5,4600,0.0,2.0,0.4014,0.2348,0.3646,0.3256,0.0946,q,PC
6.0,4600,0.0,2.0,0.2966,0.3008,0.2782,0.361,0.1297,q,PC
2.5,4700,0.0,2.0,0.4534,0.2702,0.255,0.7387,0.125,q,PC
3.0,4700,0.0,2.0,0.461,0.225,0.2866,0.6191,0.1022,q,PC
3.5,4700,0.0,2.0,0.4666,0.2011,0.3213,0.5232,0.0934,q,PC
4.0,4700,0.0,2.0,0.475,0.1798,0.3605,0.4311,0.0825,q,PC
4.5,4700,0.0,2.0,0.4776,0.1729,0.3912,0.3624,0.0787,q,PC
5.0,4700,0.0,2.0,0.4794,0.1702,0.4141,0.3144,0.076,q,PC
5.5,4700,0.0,2.0,0.4341,0.2126,0.3948,0.3055,0.0816,q,PC
6.0,4700,0.0,2.0,0.3403,0.278,0.3207,0.3378,0.1147,q,PC
2.5,4800,0.0,2.0,0.4416,0.2763,0.2397,0.7529,0.1278,q,PC
3.0,4800,0.0,2.0,0.4469,0.233,0.2698,0.6337,0.109,q,PC
3.5,4800,0.0,2.0,0.4539,0.2067,0.3056,0.5356,0.0941,q,PC
4.0,4800,0.0,2.0,0.4612,0.1879,0.3451,0.443,0.0853,q,PC
4.5,4800,0.0,2.0,0.4642,0.1807,0.3759,0.3743,0.0792,q,PC
5.0,4800,0.0,2.0,0.4697,0.1744,0.4031,0.3218,0.0768,q,PC
5.5,4800,0.0,2.0,0.4574,0.187,0.4133,0.2865,0.0687,q,PC
6.0,4800,0.0,2.0,0.3818,0.2435,0.3568,0.3097,0.0905,q,PC
2.5,4900,0.0,2.0,0.4307,0.2796,0.2227,0.7708,0.1287,q,PC
3.0,4900,0.0,2.0,0.4356,0.2367,0.2528,0.6503,0.1091,q,PC
3.5,4900,0.0,2.0,0.4421,0.2114,0.2898,0.5488,0.0949,q,PC
4.0,4900,0.0,2.0,0.4495,0.1914,0.3298,0.4539,0.0843,q,PC
4.5,4900,0.0,2.0,0.4508,0.1887,0.3599,0.3881,0.0797,q,PC
5.0,4900,0.0,2.0,0.4563,0.1826,0.388,0.3338,0.0772,q,PC
5.5,4900,0.0,2.0,0.4547,0.1847,0.4101,0.2856,0.0743,q,PC
6.0,4900,0.0,2.0,0.404,0.2331,0.3779,0.2998,0.086,q,PC
2.5,5100,0.0,2.0,0.4152,0.2817,0.187,0.8255,0.1283,q,PC
3.0,5100,0.0,2.0,0.4201,0.2343,0.2154,0.6982,0.106,q,PC
3.5,5100,0.0,2.0,0.4253,0.2077,0.2487,0.5986,0.0909,q,PC
4.0,5100,0.0,2.0,0.421,0.2031,0.2852,0.5,0.0853,q,PC
4.5,5100,0.0,2.0,0.4244,0.1961,0.316,0.4324,0.0792,q,PC
5.0,5100,0.0,2.0,0.4282,0.1925,0.3523,0.3593,0.0769,q,PC
5.5,5100,0.0,2.0,0.435,0.185,0.3767,0.314,0.0719,q,PC
6.0,5100,0.0,2.0,0.4216,0.2013,0.3865,0.2825,0.072,q,PC
2.5,5200,0.0,2.0,0.4083,0.2825,0.1761,0.8356,0.128,q,PC
3.0,5200,0.0,2.0,0.4128,0.235,0.2041,0.7076,0.1051,q,PC
3.5,5200,0.0,2.0,0.4179,0.2078,0.2375,0.6069,0.0903,q,PC
4.0,5200,0.0,2.0,0.411,0.2061,0.2717,0.5103,0.0851,q,PC
4.5,5200,0.0,2.0,0.4136,0.1999,0.303,0.4408,0.0793,q,PC
5.0,5200,0.0,2.0,0.4164,0.1975,0.3391,0.3673,0.0772,q,PC
5.5,5200,0.0,2.0,0.4229,0.1908,0.3635,0.3222,0.0721,q,PC
6.0,5200,0.0,2.0,0.4114,0.207,0.376,0.289,0.0737,q,PC
2.5,5300,0.0,2.0,0.3987,0.2865,0.1612,0.853,0.128,q,PC
3.0,5300,0.0,2.0,0.4075,0.2321,0.1932,0.7164,0.1021,q,PC
3.5,5300,0.0,2.0,0.4013,0.2202,0.2177,0.6261,0.0902,q,PC
4.0,5300,0.0,2.0,0.402,0.2082,0.259,0.5204,0.0844,q,PC
4.5,5300,0.0,2.0,0.4036,0.2028,0.2906,0.4486,0.0792,q,PC
5.0,5300,0.0,2.0,0.4058,0.2007,0.3266,0.3743,0.0766,q,PC
5.5,5300,0.0,2.0,0.4071,0.2029,0.3472,0.3354,0.0737,q,PC
6.0,5300,0.0,2.0,0.3987,0.2125,0.3614,0.2983,0.0725,q,PC
2.5,5400,0.0,2.0,0.3928,0.2878,0.1515,0.8632,0.1277,q,PC
3.0,5400,0.0,2.0,0.3998,0.2341,0.1814,0.7279,0.1019,q,PC
3.5,5400,0.0,2.0,0.3952,0.2193,0.2073,0.634,0.0878,q,PC
4.0,5400,0.0,2.0,0.3943,0.2089,0.2467,0.5305,0.0831,q,PC
4.5,5400,0.0,2.0,0.3947,0.2049,0.2792,0.4559,0.0785,q,PC
5.0,5400,0.0,2.0,0.3968,0.2011,0.3152,0.3795,0.0745,q,PC
5.5,5400,0.0,2.0,0.3842,0.2167,0.3226,0.3531,0.074,q,PC
6.0,5400,0.0,2.0,0.3854,0.2189,0.3469,0.3076,0.0725,q,PC
2.5,5500,0.0,2.0,0.3859,0.2899,0.1376,0.8844,0.1247,q,PC
3.0,5500,0.0,2.0,0.3884,0.2405,0.1606,0.7574,0.1022,q,PC
3.5,5500,0.0,2.0,0.387,0.2228,0.1954,0.6456,0.0882,q,PC
4.0,5500,0.0,2.0,0.3861,0.2114,0.2337,0.5433,0.0832,q,PC
4.5,5500,0.0,2.0,0.3862,0.2061,0.2681,0.4625,0.0783,q,PC
5.0,5500,0.0,2.0,0.3876,0.2035,0.3041,0.3857,0.0741,q,PC
5.5,5500,0.0,2.0,0.372,0.2222,0.3092,0.3612,0.075,q,PC
6.0,5500,0.0,2.0,0.3727,0.2247,0.3325,0.3169,0.0726,q,PC
2.5,5600,0.0,2.0,0.3783,0.294,0.1248,0.9028,0.1233,q,PC
3.0,5600,0.0,2.0,0.3797,0.2481,0.1484,0.7726,0.1002,q,PC
3.5,5600,0.0,2.0,0.3801,0.2248,0.1855,0.6543,0.0883,q,PC
4.0,5600,0.0,2.0,0.3789,0.2128,0.223,0.5521,0.0829,q,PC
4.5,5600,0.0,2.0,0.3785,0.2075,0.258,0.4688,0.0776,q,PC
5.0,5600,0.0,2.0,0.3632,0.221,0.2779,0.407,0.0743,q,PC
5.5,5600,0.0,2.0,0.3609,0.2252,0.2959,0.3686,0.0732,q,PC
6.0,5600,0.0,2.0,0.3604,0.2298,0.3187,0.3252,0.0725,q,PC
2.5,5700,0.0,2.0,0.3704,0.2985,0.1126,0.9185,0.1199,q,PC
3.0,5700,0.0,2.0,0.3739,0.249,0.1369,0.7868,0.0991,q,PC
3.5,5700,0.0,2.0,0.3741,0.2255,0.1759,0.6626,0.0878,q,PC
4.0,5700,0.0,2.0,0.3726,0.2129,0.2133,0.5595,0.0811,q,PC
4.5,5700,0.0,2.0,0.371,0.2094,0.2485,0.4747,0.0777,q,PC
5.0,5700,0.0,2.0,0.3536,0.2239,0.2663,0.4139,0.0737,q,PC
5.5,5700,0.0,2.0,0.3502,0.2287,0.2837,0.3752,0.0727,q,PC
6.0,5700,0.0,2.0,0.349,0.234,0.3056,0.3328,0.0722,q,PC
2.5,5800,0.0,2.0,0.3622,0.3078,0.1007,0.9388,0.1172,q,PC
3.0,5800,0.0,2.0,0.3661,0.2532,0.1249,0.8012,0.1002,q,PC
3.5,5800,0.0,2.0,0.3704,0.2275,0.1677,0.6749,0.0878,q,PC
4.0,5800,0.0,2.0,0.3662,0.214,0.2041,0.5664,0.0811,q,PC
4.5,5800,0.0,2.0,0.3495,0.2247,0.2247,0.4948,0.0776,q,PC
5.0,5800,0.0,2.0,0.3444,0.2266,0.2551,0.4207,0.0734,q,PC
5.5,5800,0.0,2.0,0.3402,0.2317,0.2722,0.3812,0.0722,q,PC
6.0,5800,0.0,2.0,0.3384,0.2373,0.2933,0.3395,0.0716,q,PC
2.5,5900,0.0,2.0,0.3539,0.3109,0.0872,0.9558,0.1154,q,PC
3.0,5900,0.0,2.0,0.3594,0.2554,0.1143,0.8123,0.0998,q,PC
3.5,5900,0.0,2.0,0.3596,0.2317,0.1545,0.6846,0.0916,q,PC
4.0,5900,0.0,2.0,0.3599,0.215,0.1952,0.5728,0.0809,q,PC
4.5,5900,0.0,2.0,0.3454,0.2253,0.219,0.4986,0.0764,q,PC
5.0,5900,0.0,2.0,0.3359,0.2288,0.2444,0.4274,0.0731,q,PC
5.5,5900,0.0,2.0,0.3347,0.2324,0.2655,0.3843,0.0712,q,PC
6.0,5900,0.0,2.0,0.3287,0.2396,0.2818,0.3454,0.0707,q,PC
2.5,6000,0.0,2.0,0.3484,0.3103,0.0786,0.9613,0.1149,q,PC
3.0,6000,0.0,2.0,0.3534,0.2565,0.1045,0.822,0.0988,q,PC
3.5,6000,0.0,2.0,0.354,0.2321,0.1441,0.6958,0.0907,q,PC
4.0,6000,0.0,2.0,0.354,0.2157,0.1868,0.5787,0.0808,q,PC
4.5,6000,0.0,2.0,0.3345,0.2282,0.2058,0.5064,0.0772,q,PC
5.0,6000,0.0,2.0,0.3283,0.23,0.2342,0.434,0.0724,q,PC
5.5,6000,0.0,2.0,0.3229,0.2352,0.2518,0.3908,0.0707,q,PC
6.0,6000,0.0,2.0,0.3223,0.2406,0.2745,0.3484,0.0699,q,PC
2.5,6100,0.0,2.0,0.3381,0.3177,0.0613,0.9911,0.1135,q,PC
3.0,6100,0.0,2.0,0.3468,0.2586,0.0947,0.8317,0.0988,q,PC
3.5,6100,0.0,2.0,0.3494,0.2332,0.1342,0.7091,0.0902,q,PC
4.0,6100,0.0,2.0,0.3507,0.2158,0.1817,0.5825,0.0803,q,PC
4.5,6100,0.0,2.0,0.3276,0.2297,0.1967,0.5121,0.0769,q,PC
5.0,6100,0.0,2.0,0.3237,0.2306,0.2276,0.4385,0.0717,q,PC
5.5,6100,0.0,2.0,0.3148,0.237,0.2425,0.3953,0.0706,q,PC
6.0,6100,0.0,2.0,0.2964,0.2582,0.2483,0.3676,0.0713,q,PC
2.5,6200,0.0,2.0,0.3339,0.3162,0.0554,0.9911,0.113,q,PC
3.0,6200,0.0,2.0,0.3398,0.2612,0.0845,0.8418,0.0987,q,PC
3.5,6200,0.0,2.0,0.3425,0.2339,0.1228,0.7197,0.0903,q,PC
4.0,6200,0.0,2.0,0.3451,0.216,0.1738,0.5877,0.0802,q,PC
4.5,6200,0.0,2.0,0.3216,0.2301,0.1886,0.5169,0.0763,q,PC
5.0,6200,0.0,2.0,0.3166,0.2318,0.2178,0.4453,0.0714,q,PC
5.5,6200,0.0,2.0,0.2945,0.2519,0.2222,0.4109,0.0722,q,PC
6.0,6200,0.0,2.0,0.2815,0.2641,0.2323,0.3763,0.073,q,PC
2.5,6300,0.0,2.0,0.3217,0.3251,0.036,1.023,0.112,q,PC
3.0,6300,0.0,2.0,0.333,0.2637,0.0741,0.8525,0.0979,q,PC
3.5,6300,0.0,2.0,0.3374,0.2348,0.111,0.7357,0.0885,q,PC
4.0,6300,0.0,2.0,0.3383,0.2164,0.1642,0.5939,0.0804,q,PC
4.5,6300,0.0,2.0,0.3174,0.2305,0.1824,0.5216,0.0755,q,PC
5.0,6300,0.0,2.0,0.3089,0.2314,0.2054,0.4545,0.0707,q,PC
5.5,6300,0.0,2.0,0.2821,0.2566,0.2091,0.4177,0.0737,q,PC
6.0,6300,0.0,2.0,0.2714,0.2675,0.2207,0.3829,0.0736,q,PC
2.5,6400,0.0,2.0,0.3181,0.3235,0.0312,1.0213,0.1119,q,PC
3.0,6400,0.0,2.0,0.3257,0.2667,0.0623,0.8664,0.0976,q,PC
3.5,6400,0.0,2.0,0.3309,0.2359,0.1008,0.7454,0.0885,q,PC
4.0,6400,0.0,2.0,0.3332,0.2167,0.1569,0.599,0.0802,q,PC
4.5,6400,0.0,2.0,0.3115,0.2298,0.1727,0.5286,0.0751,q,PC
5.0,6400,0.0,2.0,0.303,0.2325,0.1968,0.4614,0.0717,q,PC
5.5,6400,0.0,2.0,0.2727,0.2584,0.1981,0.4227,0.0739,q,PC
