Epoch,Tmid,err,C,T0,Period,O-C,O-C [min],err [min]
-1580,2454775.3372,0.001500,2454775.336698,2456021.70374,0.78884,0.00050,0.72288,2.16000
-1527,2454817.14633,0.000210,2454817.145213,2456021.70374,0.78884,0.00112,1.60891,0.30240
-1081,2455168.96879,0.000110,2455168.967808,2456021.70374,0.78884,0.00098,1.41394,0.15840
-976,2455251.79657,0.000140,2455251.795998,2456021.70374,0.78884,0.00057,0.82426,0.20160
-975,2455252.58544,0.000100,2455252.584838,2456021.70374,0.78884,0.00060,0.86760,0.14400
-971,2455255.74077,0.000120,2455255.740197,2456021.70374,0.78884,0.00057,0.82498,0.17280
-871,2455334.6254,0.000210,2455334.624187,2456021.70374,0.78884,0.00121,1.74658,0.30240
-866,2455338.56927,0.000230,2455338.568387,2456021.70374,0.78884,0.00088,1.27210,0.33120
-847,2455353.55659,0.000240,2455353.556345,2456021.70374,0.78884,0.00025,0.35323,0.34560
-611,2455539.72327,0.000300,2455539.722561,2456021.70374,0.78884,0.00071,1.02082,0.43200
-573,2455569.69826,0.000360,2455569.698477,2456021.70374,0.78884,-0.00022,-0.31291,0.51840
-559,2455580.74124,0.000590,2455580.742236,2456021.70374,0.78884,-0.00100,-1.43410,0.84960
-554,2455584.68693,0.000240,2455584.686435,2456021.70374,0.78884,0.00049,0.71222,0.34560
-554,2455584.68684,0.000190,2455584.686435,2456021.70374,0.78884,0.00040,0.58262,0.27360
-542,2455594.15188,0.001680,2455594.152514,2456021.70374,0.78884,-0.00063,-0.91325,2.41920
-533,2455601.25164,0.000710,2455601.252073,2456021.70374,0.78884,-0.00043,-0.62395,1.02240
-531,2455602.83138,0.000460,2455602.829753,2456021.70374,0.78884,0.00163,2.34274,0.66240
-528,2455605.19414,0.001800,2455605.196273,2456021.70374,0.78884,-0.00213,-3.07123,2.59200
-526,2455606.77464,0.000220,2455606.773953,2456021.70374,0.78884,0.00069,0.98986,0.31680
-525,2455607.56241,0.000330,2455607.562793,2456021.70374,0.78884,-0.00038,-0.55080,0.47520
-506,2455622.55057,0.000260,2455622.550751,2456021.70374,0.78884,-0.00018,-0.26006,0.37440
-504,2455624.12787,0.001420,2455624.128430,2456021.70374,0.78884,-0.00056,-0.80698,2.04480
-493,2455632.80612,0.000250,2455632.805669,2456021.70374,0.78884,0.00045,0.64901,0.36000
-464,2455655.68222,0.000450,2455655.682026,2456021.70374,0.78884,0.00019,0.27878,0.64800
-445,2455670.66976,0.000640,2455670.669985,2456021.70374,0.78884,-0.00022,-0.32328,0.92160
-436,2455677.77038,0.001950,2455677.769544,2456021.70374,0.78884,0.00084,1.20442,2.80800
-422,2455688.81201,0.003330,2455688.813302,2456021.70374,0.78884,-0.00129,-1.86077,4.79520
-421,2455689.60276,0.000300,2455689.602142,2456021.70374,0.78884,0.00062,0.88978,0.43200
-417,2455692.75674,0.002550,2455692.757502,2456021.70374,0.78884,-0.00076,-1.09685,3.67200
-416,2455693.54639,0.000130,2455693.546342,2456021.70374,0.78884,0.00005,0.06970,0.18720
-403,2455703.79933,0.004110,2455703.801260,2456021.70374,0.78884,-0.00193,-2.77963,5.91840
-402,2455704.59078,0.000340,2455704.590100,2456021.70374,0.78884,0.00068,0.97891,0.48960
-397,2455708.53495,0.000150,2455708.534300,2456021.70374,0.78884,0.00065,0.93643,0.21600
-171,2455886.81234,0.002080,2455886.812117,2456021.70374,0.78884,0.00022,0.32098,2.99520
-159,2455896.27611,0.002100,2455896.278196,2456021.70374,0.78884,-0.00209,-3.00370,3.02400
-135,2455915.2098,0.000650,2455915.210354,2456021.70374,0.78884,-0.00055,-0.79704,0.93600
-130,2455919.15485,0.001030,2455919.154553,2456021.70374,0.78884,0.00030,0.42768,1.48320
-126,2455922.30966,0.005550,2455922.309913,2456021.70374,0.78884,-0.00025,-0.36374,7.99200
-28,2455999.6163,0.000070,2455999.616223,2456021.70374,0.78884,0.00008,0.11117,0.10080
0,2456021.70374,0.000090,2456021.703740,2456021.70374,0.78884,0.00000,0.00000,0.12960
10,2456029.5925,0.000350,2456029.592139,2456021.70374,0.78884,0.00036,0.51984,0.50400
15,2456033.53645,0.000140,2456033.536339,2456021.70374,0.78884,0.00011,0.16056,0.20160
15,2456033.53651,0.000070,2456033.536339,2456021.70374,0.78884,0.00017,0.24696,0.10080
15,2456033.53643,0.000070,2456033.536339,2456021.70374,0.78884,0.00009,0.13176,0.10080
15,2456033.53652,0.000090,2456033.536339,2456021.70374,0.78884,0.00018,0.26136,0.12960
53,2456063.51174,0.000300,2456063.512255,2456021.70374,0.78884,-0.00051,-0.74117,0.43200
910,2456739.54795,0.000050,2456739.548049,2456021.70374,0.78884,-0.00010,-0.14256,0.07200
957,2456776.62329,0.000070,2456776.623524,2456021.70374,0.78884,-0.00023,-0.33739,0.10080
1464,2457176.56474,0.000090,2457176.565354,2456021.70374,0.78884,-0.00061,-0.88358,0.12960
2250,2457796.59224,0.000060,2457796.593515,2456021.70374,0.78884,-0.00128,-1.83600,0.08640
2316,2457848.65559,0.000070,2457848.656948,2456021.70374,0.78884,-0.00136,-1.95610,0.10080
2326,2457856.54384,0.000110,2457856.545347,2456021.70374,0.78884,-0.00151,-2.17066,0.15840
952,2456772.67789,0.000520,2456772.679325,2456021.70374,0.78884,-0.00143,-2.06611,0.74880
1933,2457546.53025,0.000380,2457546.531267,2456021.70374,0.78884,-0.00102,-1.46405,0.54720
3244,2458580.69724,0.000400,2458580.700376,2456021.70374,0.78884,-0.00314,-4.51526,0.57600
3198,2458544.4117000,0.000500,2458544.413740,2456021.70374,0.78884,-0.00204,-2.93789,0.72000
3199,2458545.1993000,0.000400,2458545.202580,2456021.70374,0.78884,-0.00328,-4.72334,0.57600
3200,2458545.9893000,0.000400,2458545.991420,2456021.70374,0.78884,-0.00212,-3.05280,0.57600
3201,2458546.7776000,0.000400,2458546.780260,2456021.70374,0.78884,-0.00266,-3.83026,0.57600
3202,2458547.5669000,0.000500,2458547.569100,2456021.70374,0.78884,-0.00220,-3.16771,0.72000
3203,2458548.3545000,0.000400,2458548.357940,2456021.70374,0.78884,-0.00344,-4.95317,0.57600
3204,2458549.1446000,0.000400,2458549.146780,2456021.70374,0.78884,-0.00218,-3.13862,0.57600
3205,2458549.9324000,0.000500,2458549.935620,2456021.70374,0.78884,-0.00322,-4.63608,0.72000
3206,2458550.7213000,0.000500,2458550.724459,2456021.70374,0.78884,-0.00316,-4.54954,0.72000
3207,2458551.51000,0.000500,2458551.513299,2456021.70374,0.78884,-0.00330,-4.75099,0.72000
3208,2458552.299000,0.000400,2458552.302139,2456021.70374,0.78884,-0.00314,-4.52045,0.57600
3209,2458553.0881000,0.000400,2458553.090979,2456021.70374,0.78884,-0.00288,-4.14590,0.57600
3210,2458553.8769000,0.000400,2458553.879819,2456021.70374,0.78884,-0.00292,-4.20336,0.57600
3211,2458554.6655000,0.000400,2458554.668659,2456021.70374,0.78884,-0.00316,-4.54882,0.57600
3212,2458555.4543000,0.000500,2458555.457499,2456021.70374,0.78884,-0.00320,-4.60627,0.72000
3215,2458557.8218000,0.000500,2458557.824019,2456021.70374,0.78884,-0.00222,-3.19464,0.72000
3216,2458558.6097000,0.000500,2458558.612858,2456021.70374,0.78884,-0.00316,-4.54810,0.72000
3217,2458559.3991000,0.000500,2458559.401698,2456021.70374,0.78884,-0.00260,-3.74155,0.72000