Epoch,O-C [min],err [min],O-C decay [min]
-1580,-0.32144,2.16000,1.177444800
-1527,0.59963,0.30240,2.033496000
-1081,0.69944,0.15840,1.626710400
-976,0.17916,0.20160,0.997704000
-975,0.22316,0.14400,1.040702400
-971,0.18318,0.17280,0.996652800
-871,1.17088,0.30240,1.884715200
-866,0.69971,0.33120,1.408651200
-847,-0.20660,0.34560,0.483868800
-611,0.61697,0.43200,1.088798400
-573,-0.69165,0.51840,-0.253123200
-559,-1.80357,0.84960,-1.377201600
-554,0.34605,0.34560,0.768110400
-554,0.21645,0.27360,0.638510400
-542,-1.27149,2.41920,-0.859752000
-533,-0.97625,1.02240,-0.572227200
-531,1.99176,0.66240,2.394072000
-528,-3.42022,2.59200,-3.020472000
-526,0.64220,0.31680,1.040241600
-525,-0.89781,0.47520,-0.500616000
-506,-0.59450,0.37440,-0.213436800
-504,-1.14011,2.04480,-0.760723200
-493,0.32315,0.36000,0.693259200
-464,-0.02791,0.64800,0.317980800
-445,-0.61741,0.92160,-0.287222400
-436,0.91624,2.80800,1.239033600
-422,-2.13970,4.79520,-1.828339200
-421,0.61151,0.43200,0.922046400
-417,-1.37246,3.67200,-1.065182400
-416,-0.20526,0.18720,0.101203200
-403,-3.04600,5.91840,-2.750054400
-402,0.71320,0.48960,1.008331200
-397,0.67404,0.21600,0.965131200
-171,0.20795,2.99520,0.326304000
-159,-3.10879,3.02400,-2.999088000
-135,-0.88628,0.93600,-0.793728000
-130,0.34176,1.48320,0.430761600
-126,-0.44702,7.99200,-0.360849600
-28,0.09266,0.10080,0.111312000
0,0.00000,0.12960,0.000000000
10,0.52645,0.50400,0.519854400
15,0.17047,0.20160,0.160603200
15,0.25687,0.10080,0.247003200
15,0.14167,0.10080,0.131803200
15,0.27127,0.12960,0.261403200
53,-0.70613,0.43200,-0.740649600
910,0.45891,0.07200,0.008222400
957,0.29514,0.10080,-0.170625600
1464,0.08407,0.12960,-0.493315200
2250,-0.34884,0.08640,-0.914184000
2316,-0.42532,0.10080,-0.979401600
2326,-0.63327,0.15840,-1.185508800
952,-1.43688,0.74880,-1.901088000
1933,-0.18641,0.54720,-0.783676800
3244,-2.37110,0.57600,-2.599056000
3198,-0.82414,0.72000,-1.075636800
3199,-2.60893,0.57600,-2.859926400
3200,-0.93773,0.57600,-1.188216000
3201,-1.71452,0.57600,-1.964505600
3202,-1.05132,0.72000,-1.300795200
3203,-2.83611,0.57600,-3.085084800
3204,-1.02090,0.57600,-1.269374400
3205,-2.51771,0.72000,-2.765664000
3206,-2.43050,0.72000,-2.677953600
3207,-2.63130,0.72000,-2.878243200
3208,-2.40009,0.57600,-2.646532800
3209,-2.02488,0.57600,-2.270822400
3210,-2.08168,0.57600,-2.327112000
3211,-2.42647,0.57600,-2.671387200
3212,-2.48327,0.72000,-2.727676800
3215,-1.06966,0.72000,-1.312531200
3216,-2.42245,0.72000,-2.664820800
3217,-1.61525,0.72000,-1.857110400