,System,pl_orbincl,st_rad,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0,T0err,Period,Perioderr,Ephemeris_reference,st_logg,Teff,Z,pl_orbsmax
0,GJ_0436,90.0,0.455, TEP  ,11,42,11.09,26,42,23.6,10.68,6.07,0.04189,0.006,2456295.431924,4.5e-05,2.64389782,8e-08,2014Natur.505...66K,4.83,3416,-0.03,0.0308
1,HAT-P-02,85.97,1.68, TEP  ,16,20,36.36,41,2,53.1,8.71,7.6,0.1787,0.006,2455288.84969,0.00039,5.6334675,1.3e-06,arXiv:1702.03797,4.092,6290,0.14,0.0674
2,HAT-P-03,87.24,0.85, TEP  ,13,44,22.59,48,1,43.2,11.86,9.45,0.08646,0.015,2457150.39472,0.00058,2.89973838,2.7e-07,2018A+A...613A..41M,4.545,5190,0.24,0.03878
3,HAT-P-04,89.9,1.6, TEP  ,15,19,57.93,36,13,46.9,11.0,9.77,0.1775,0.009,2454245.81521,0.0002,3.0565254,1.2e-06,2012PASP..124..212S,4.1339999999999995,6036,0.27699999999999997,0.04465
4,HAT-P-05,86.75,1.137, TEP  ,18,17,37.3,36,37,16.9,12.0,10.48,0.1217,0.015,2455432.4551,0.0001,2.7884736,5.2e-07,2012MNRAS.422.3099S,4.3919999999999995,5960,0.24,0.04079
5,HAT-P-07,85.7,2.02, TEP  ,19,28,59.36,47,58,10.3,10.46,9.33,0.1643,0.0067,2454954.358505,5e-06,2.20473542,1e-08,2014PASJ...66...94B,4.029,6310,0.32,0.03805
6,HAT-P-14,83.5,1.591, TEP  ,17,20,27.87,38,14,31.9,10.0,8.85,0.0907,0.005,2457138.21545,0.00029,4.6276594,1e-06,2016ApJ...819...27F,4.187,6600,0.11,0.061079999999999995
7,HAT-P-16,90.0,1.158, TEP  ,0,38,17.56,42,27,47.0,10.8,9.55,0.1276,0.01,2455027.59292,0.00019,2.7759704,7e-07,2016PASP..128b4402S,4.396,6140,0.12,0.0413
8,HAT-P-21,90.0,1.105, TEP  ,11,25,5.88,41,1,40.6,11.69,10.11,0.153,0.011,2454996.41312,0.00069,4.124481,7.000000000000001e-06,2011ApJ...742..116B,4.33,5588,0.01,0.0494
9,HAT-P-22,90.0,1.062, TEP  ,10,22,43.51,50,7,42.0,9.73,7.84,0.1196,0.015,2454930.22016,0.00016,3.21223328,5.8e-07,2016MNRAS.459..789T,4.357,5314,0.3,0.041710000000000004
10,HAT-P-24,90.0,1.294, TEP  ,7,15,18.0,14,15,45.4,11.75,10.54,0.1539,0.012,2455629.67053,0.00034,3.3552479,6.2e-06,2013RAA....13..593W,4.2860000000000005,6373,-0.16,0.04641
11,HAT-P-30,90.0,1.215, TEP  ,8,15,47.98,5,50,12.3,10.36,9.15,0.0887,0.013,2455456.4662,0.00013,2.8106084,1.1e-06,2016AcA....66...55M,4.36,6338,0.12,0.0419
12,HAT-P-31,90.0,1.36, TEP  ,18,6,9.0,26,25,36.0,11.66,10.08,0.214,0.0051,2458169.941,0.0017,5.0052724,6.3e-06,arXiv:1812.05882,4.26,6065,0.15,0.055
13,HAT-P-33,90.0,1.6369999999999998, TEP  ,7,32,44.2,33,50,6.2,11.19,10.0,0.1839,0.012,2456035.13775,0.00027,3.47447472,8.8e-07,2017AJ....154...49W,4.15,6446,0.07,0.0499
14,HAT-P-34,90.0,1.535, TEP  ,20,12,46.88,18,6,17.5,10.16,9.25,0.1455,0.008,2456462.14718,0.00041,5.452647,3.1e-06,arXiv:1812.05882,4.21,6442,0.22,0.0677
15,HAT-P-50,90.0,1.6980000000000002, TEP  ,7,52,15.2,12,8,21.9,11.76,10.5,0.1531,0.006,2456285.90993,0.00036,3.1220109,6.5000000000000004e-06,2015AJ....150..168H,4.072,6280,-0.18,0.0453
16,HAT-P-67,90.0,2.546, TEP  ,17,6,26.56,44,46,37.1,10.11,8.9,0.2912,0.008,2455961.38467,0.0007,4.8101025,4.8e-06,2017AJ....153..211Z,3.8539999999999996,6406,-0.08,0.06505
17,HATS-33,90.0,1.022, TEP  ,19,38,31.92,-55,19,48.4,11.91,10.29,0.1115,0.022,2456497.23181,0.0005,2.5495551,6.1e-06,2016AJ....152..161D,4.445,5659,0.29,0.03727
18,HD_002685,90.0,1.57, TEP  ,0,29,18.95,-76,18,14.6,9.59,8.6,0.18,0.01,2458325.7829,0.00016,4.12692,4e-05,arXiv:1811.05518,4.22,6801,0.02,0.0568
19,HD_271181,90.0,1.6480000000000001, TEP  ,5,19,4.35,-71,53,43.9,11.47,10.12,0.205,0.01,2458328.8797,0.0006,4.231306,5.9999999999999995e-05,arXiv:1906.09866,4.33,6495,0.22,0.058
20,HIP_00065,90.0,0.7242, TEP  ,0,0,44.56,-54,49,50.9,11.13,8.29,0.03274,0.006,2458326.10418,0.00011,0.9809734,3.1e-06,arXiv:2003.05932,4.611000000000001,4590,0.18,0.01782
21,HIP_67522,90.0,1.38, TEP  ,13,50,6.28,-40,50,8.9,9.88,8.16,0.2009,0.005,2458604.02371,0.00037,6.959503,1.6e-05,arXiv:2005.00013,4.24,5675,0.2,0.0762
22,K2-237,90.0,1.34, TEP  ,16,55,4.53,-28,42,38.0,11.6,10.22,0.126,0.015,2457782.93422,0.00014,2.1805358,1e-06,arXiv:2005.01684,4.24,6099,0.0,0.0352
23,KELT-01,90.0,1.4709999999999999, BD   ,0,1,26.92,39,23,1.7,10.7,9.44,0.11526,0.006,2457306.97624,0.00028,1.21749394,2.5e-07,arXiv:2006.10292,4.337,6516,0.052000000000000005,0.02472
24,KELT-03,90.0,1.472, TEP  ,9,54,34.39,40,23,17.0,9.82,8.66,0.11419,0.01,2456023.48038,0.00025,2.70339216,9.000000000000001e-07,arXiv:1812.05882,4.209,6306,0.044000000000000004,0.04122
25,KELT-06,90.0,1.58, TEP  ,13,3,55.65,30,38,24.3,10.42,9.08,0.23,0.007,2457124.50954,0.00057,7.845582,7.000000000000001e-06,2015A+A...581L...6D,4.074,6102,-0.281,0.07939
26,KELT-07,90.0,1.732, TEP  ,5,13,10.93,33,19,5.4,8.54,7.54,0.1463,0.008,2456355.22981,0.0002,2.73476468,4.6e-07,arXiv:1901.07040,4.149,6789,0.139,0.04415
27,KELT-08,90.0,1.67, TEP  ,18,53,13.32,24,7,38.5,10.83,9.18,0.1444,0.013,2457396.04496,0.00055,3.2440796,4.8e-06,arXiv:1812.05882,4.078,5754,0.272,0.04571
28,KELT-09,90.0,2.418, TEP  ,20,31,26.35,39,56,19.8,7.56,7.48,0.16361,0.0068,2457095.68572,0.00014,1.4811235,1.1e-06,2017Natur.546..514G,4.037,9600,0.14,0.03368
29,KELT-15,90.0,1.4809999999999999, TEP  ,7,49,39.61,-52,7,13.6,11.44,9.85,0.1719,0.012,2458527.42971,0.00017,3.329468,1.2e-05,arXiv:2005.01684,4.234,6003,0.047,0.046130000000000004
30,KELT-16,90.0,1.36, TEP  ,20,57,4.44,31,39,39.6,11.9,10.64,0.1037,0.013,2457910.03913,0.00011,0.96899319,3e-07,arXiv:2002.02606,4.253,6236,0.002,0.02044
31,KELT-18,90.0,1.9080000000000001, TEP  ,14,26,5.78,59,26,39.2,10.21,9.21,0.1935,0.0085,2457542.52504,0.00039,2.8717518,2.8e-06,2017AJ....153..263M,4.06,6670,0.09,0.0455
32,KELT-19,90.0,1.83, TEP  ,7,26,2.29,7,36,56.8,9.9,9.2,0.1831,0.012,2457281.24954,0.00036,4.6117093,9.9e-06,2018AJ....155...35S,4.127,7500,-0.12,0.0637
33,KELT-20,90.0,1.561, TEP  ,19,38,38.73,31,13,9.2,7.59,7.42,0.12897,0.013,2457503.12005,0.00019,3.474107,1.9e-06,2017AJ....154..194L,4.292,8730,-0.29,0.0542
34,KELT-23,90.0,0.995, TEP  ,15,28,35.19,66,21,31.5,10.25,8.9,0.09923,0.02,2458144.89705,0.00091,2.255353,3.1e-05,arXiv:1903.00031,4.418,5900,-0.105,0.033030000000000004
35,KELT-24,90.0,1.506, TEP  ,10,47,38.35,71,39,21.2,8.39,7.15,0.1791,0.008,2457147.0530000003,0.002,5.5514926,8e-06,arXiv:1906.03276,4.248,6508,0.188,0.06971000000000001
36,TrES-1,90.0,0.818, TEP  ,19,4,9.84,36,37,57.5,11.79,9.82,0.104,0.022,2455016.969937,7e-05,3.03006973,1.8e-07,2015MNRAS.450.3101B,4.563,5226,0.06,0.03946
37,TrES-2,90.0,0.9640000000000001, TEP  ,19,7,14.04,49,18,59.0,11.41,9.85,0.07451,0.015,2453957.635499,1.3000000000000001e-05,2.47061337,1.9e-07,2014MNRAS.444.1351R,4.466,5850,-0.15,0.03567
38,TrES-4,90.0,1.81, TEP  ,17,53,13.06,37,12,42.4,11.59,10.33,0.1524,0.011,2454230.9056,0.0003,3.55392771,4.7e-07,2015A+A...575L..15S,4.09,6295,0.28,0.0516
39,WASP-003,90.0,1.298, TEP  ,18,34,31.62,35,39,41.5,10.64,9.36,0.1162,0.013,2454143.85112,0.00022,1.8468351000000003,3.2e-07,2018IBVS.6243....1M,4.26,6340,0.161,0.0305
40,WASP-013,90.0,1.6569999999999998, TEP  ,9,20,24.7,33,52,56.5,10.51,9.12,0.1668,0.009,2455575.5136,0.0016,4.353011,1.3000000000000001e-05,2012MNRAS.419.1248B,4.086,6025,0.0557,0.11
41,WASP-015,90.0,1.5219999999999998, TEP  ,13,55,42.71,-32,9,34.6,10.92,9.69,0.1547,0.012,2454584.69859,0.00029,3.75209748,8.1e-07,2013MNRAS.434.1300S,4.189,6573,0.09,0.05165
42,WASP-016,90.0,1.087, TEP  ,14,18,43.92,-20,16,31.9,11.31,9.59,0.08,0.013,2454584.42898,0.00038,3.1186068,1.2e-06,2013MNRAS.434.1300S,4.357,5630,0.07,0.0415
43,WASP-017,90.0,1.5830000000000002, TEP  ,15,59,50.95,-28,3,42.3,11.5,10.22,0.183,0.018,2454592.80154,0.0005,3.7354845,1.9e-06,2012MNRAS.426.1338S,4.149,6550,-0.25,0.05135
44,WASP-018,90.0,1.255, TEP  ,1,37,25.03,-45,40,40.4,9.27,8.13,0.09089,0.012,2458022.12523,2e-05,0.94145242,2e-08,arXiv:2002.02606,4.353,6400,0.1,0.02055
45,WASP-020,90.0,1.242, TEP  ,0,20,38.53,-23,56,8.6,10.68,9.39,0.1418,0.012,2455715.65562,0.00029,4.8996284,3.3e-06,2015A+A...575A..61A,4.296,5987,0.07,0.05851
46,WASP-022,90.0,1.255, TEP  ,3,31,16.32,-23,49,10.9,11.71,10.32,0.145,0.012,2455532.72776,0.00022,3.53273064,7e-07,2016MNRAS.457.4205S,4.338,6153,0.26,0.0489
47,WASP-025,90.0,0.924, TEP  ,13,1,26.37,-27,31,19.9,11.85,10.17,0.116,0.022,2455888.66484,0.00013,3.7648327,9.000000000000001e-07,2014MNRAS.444..776S,4.53,5736,0.06,0.04819
48,WASP-029,90.0,0.8079999999999999, TEP  ,23,51,31.08,-39,54,24.2,11.21,8.78,0.11036,0.013,2455853.72442,0.00017,3.9227186,6.8e-06,2013MNRAS.428.3680G,4.54,4875,0.11,0.04565
49,WASP-031,90.0,1.252, TEP  ,11,17,45.35,-19,3,17.3,11.94,10.65,0.1103,0.016,2455873.86662,0.00011,3.405886,7.8e-07,2015MNRAS.446.2428S,4.308,6175,-0.2,0.04659
50,WASP-033,90.0,1.5090000000000001, TEP  ,2,26,51.06,37,33,1.7,8.18,7.47,0.1188,0.014,2458792.63403,9e-05,1.21987089,7e-08,arXiv:2004.10767,4.27,7430,0.1,0.0259
51,WASP-034,90.0,0.93, TEP  ,11,1,35.89,-23,51,38.4,10.37,8.79,0.0876,0.012,2454647.55358,0.00064,4.3176782,4.5e-06,2011A+A...526A.130S,4.5,5704,0.08,0.0524
52,WASP-035,90.0,1.09, TEP  ,5,4,19.63,-6,13,47.4,10.95,9.53,0.1278,0.017,2455531.47907,0.00015,3.161575,2e-06,2011AJ....142...86E,4.4,6072,-0.05,0.04317
53,WASP-041,90.0,0.8859999999999999, TEP  ,12,42,28.5,-30,38,23.5,11.64,9.68,0.1099,0.021,2455996.67927,0.0001,3.05240154,4.1e-07,2016MNRAS.457.4205S,4.538,5546,0.06,0.041
54,WASP-045,90.0,0.917, TEP  ,0,20,56.99,-35,59,53.8,11.98,10.29,0.0746,0.012,2457501.35468,0.00022,3.12607637,6e-07,arXiv:2005.01684,4.47,5100,0.36,0.0405
55,WASP-048,90.0,1.5190000000000001, TEP  ,19,24,38.98,55,28,23.3,11.66,10.37,0.1327,0.01,2455364.55241,0.00024,2.14363544,5.8e-07,2015A+A...577A..54C,4.101,6000,-0.12,0.0332
56,WASP-049,90.0,1.038, TEP  ,6,4,21.47,-16,57,55.1,11.36,9.75,0.08918,0.013,2456267.68389,0.00013,2.7817362,1.4e-06,2016A+A...587A..67L,4.406000000000001,5600,-0.23,0.0387
57,WASP-050,90.0,0.855, TEP  ,2,54,45.13,-10,53,53.0,11.55,9.97,0.0752,0.02,2455558.61237,0.0002,1.9550938,1.2e-06,2013MNRAS.431..966T,4.5089999999999995,5518,0.13,0.02913
58,WASP-054,90.0,1.828, TEP  ,13,41,49.02,0,7,41.0,10.42,9.04,0.1863,0.011,2455518.35087,0.00053,3.6936411,5.9e-06,2013A+A...551A..73F,3.997,6296,0.0,0.04987
59,WASP-055,90.0,1.102, TEP  ,13,35,1.94,-17,30,12.7,11.76,10.4,0.1459,0.018,2456416.71565,0.00013,4.4656291,1.1e-06,2016MNRAS.457.4205S,4.419,6070,0.09,0.0558
60,WASP-058,90.0,1.17, TEP  ,18,18,48.25,45,10,19.1,11.66,10.29,0.1582,0.014,2457261.0597,0.00062,5.0172131,2.6e-06,arXiv:1812.05882,4.27,5800,-0.45,0.0561
61,WASP-062,90.0,1.28, TEP  ,5,48,33.59,-63,59,18.3,10.22,8.94,0.1588,0.014,2455855.39272,0.00027,4.41193897,7.4e-07,arXiv:1901.07040,4.316,6230,0.04,0.0567
62,WASP-063,90.0,1.88, TEP  ,6,17,20.74,-38,19,23.8,11.16,9.39,0.2225,0.007,2455921.6527,0.0005,4.37809,6e-06,2012MNRAS.426..739H,4.01,5715,0.28,0.0574
63,WASP-066,90.0,1.75, TEP  ,10,32,54.0,-34,59,23.3,11.61,10.45,0.1876,0.007,2455929.09615,0.00035,4.086052,7.000000000000001e-06,2012MNRAS.426..739H,4.06,6600,-0.31,0.0546
64,WASP-073,90.0,2.07, TEP  ,21,19,47.91,-58,8,56.0,10.48,9.03,0.233,0.006,2456365.7688,0.0011,4.0872856,8.7e-06,arXiv:1812.05882,3.93,6030,0.14,0.05512
65,WASP-077,90.0,0.955, TEP  ,2,28,37.22,-7,3,38.4,10.3,8.4,0.09,0.025,2457420.88439,0.00085,1.36002866,1.7e-07,arXiv:2001.11112,4.33,5605,0.07,0.024
66,WASP-078,90.0,2.35, TEP  ,4,15,1.51,-22,6,59.1,11.96,11.01,0.1953,0.007,2455882.35878,0.00053,2.17517632,4.7e-07,2012A+A...547A..61S,3.84,6100,-0.35,0.0367
67,WASP-079,90.0,1.51, TEP  ,4,25,29.02,-30,36,1.5,10.04,9.06,0.1661,0.013,2455545.23874,0.00037,3.66239264,5.6e-07,arXiv:1911.02051,4.226,6600,0.03,0.0519
68,WASP-082,90.0,2.219, TEP  ,4,50,38.56,1,53,38.1,10.08,8.76,0.2081,0.005,2456931.84438,0.0008,2.7057846,2.2e-06,2015AcA....65..117S,3.958,6500,0.12,0.04477
69,WASP-087,90.0,1.6269999999999998, TEP  ,12,21,17.92,-52,50,27.0,10.74,9.6,0.12436,0.007,2456361.8403,0.00021,1.682795,1.9e-06,arXiv:1410.3449,4.096,6450,-0.41,0.029460000000000004
70,WASP-091,90.0,0.86, TEP  ,23,51,22.89,-70,9,10.2,11.99,9.71,0.0976,0.017,2456297.719,0.0002,2.798581,3e-06,2017A+A...604A.110A,4.49,4920,0.19,0.037000000000000005
71,WASP-093,90.0,1.524, TEP  ,0,37,50.11,51,17,19.5,10.97,9.94,0.0931,0.012,2456079.5642,0.00045,2.7325321,2e-06,2016MNRAS.463.3276H,4.197,6700,0.07,0.04211
72,WASP-094,90.0,1.62, TEP  ,20,55,7.95,-34,8,7.9,10.06,8.87,0.187,0.014,2456416.40138,0.00026,3.9501907,3.7000000000000006e-06,2014A+A...572A..49N,4.181,6170,0.26,0.055
73,WASP-095,90.0,1.13, TEP  ,22,29,49.73,-48,0,11.0,10.09,8.56,0.116,0.014,2456338.45851,0.00024,2.184673,1.4e-06,2014MNRAS.440.1982H,4.38,5830,0.14,0.03416
74,WASP-097,90.0,1.06, TEP  ,1,38,25.04,-55,46,19.5,10.58,9.03,0.1076,0.015,2456438.18683,0.00018,2.07276,1e-06,2014MNRAS.440.1982H,4.43,5670,0.23,0.033030000000000004
75,WASP-099,90.0,1.76, TEP  ,2,39,35.44,-50,0,28.8,9.48,8.09,0.219,0.005,2456224.9824,0.0014,5.75251,4e-05,2014MNRAS.440.1982H,4.12,6150,0.21,0.0717
76,WASP-100,90.0,1.67, TEP  ,4,35,50.32,-64,1,37.3,10.8,9.67,0.16,0.008,2456272.3395,0.0009,2.849375,8e-06,2014MNRAS.440.1982H,4.16,6940,0.0,0.043
77,WASP-101,90.0,1.29, TEP  ,6,33,24.26,-23,29,10.2,10.34,9.07,0.113,0.011,2457663.51944,8e-05,3.585722,4e-06,2017ApJ...835L..12W,4.345,6380,0.2,0.0506
78,WASP-108,90.0,1.215, TEP  ,13,3,18.73,-49,38,22.8,11.22,9.8,0.13216,0.008,2456413.79019,0.00025,2.6755463,2.1000000000000002e-06,arXiv:1410.3449,4.336,6000,0.05,0.0397
79,WASP-111,90.0,1.85, TEP  ,21,55,4.23,-22,36,45.2,10.26,9.0,0.1373,0.006,2456275.75127,0.0004,2.310965,2.4e-06,arXiv:1410.3449,4.081,6400,0.08,0.03914
80,WASP-113,90.0,1.608, TEP  ,14,59,29.49,46,57,36.4,11.77,10.31,0.1791,0.01,2457197.097459,4e-05,4.5421687,4.2000000000000004e-06,2016A+A...593A.113B,4.2,5890,0.1,0.05885
81,WASP-120,90.0,1.87, TEP  ,4,10,27.85,-45,53,53.6,10.96,9.88,0.1483,0.007,2456779.43556,0.00051,3.6112706,4.2999999999999995e-06,2016PASP..128f4401T,4.035,6450,-0.05,0.0514
82,WASP-121,90.0,1.4580000000000002, TEP  ,7,10,24.06,-39,5,50.6,10.52,9.37,0.1211,0.017,2458119.72074,0.00017,1.27492504,1.4e-07,arXiv:2001.06836,4.242,6460,0.13,0.02544
83,WASP-122,90.0,1.52, TEP  ,7,13,12.34,-42,24,35.1,11.0,9.42,0.09117,0.014,2457872.52231,0.00015,1.71005344,3.2e-07,arXiv:2005.01684,4.166,5720,0.32,0.03005
84,WASP-123,90.0,1.285, TEP  ,19,17,55.05,-32,51,35.9,11.03,9.36,0.1289,0.011,2456845.17082,0.00039,2.9776412,2.3e-06,2016PASP..128f4401T,4.2860000000000005,5740,0.18,0.04263
85,WASP-126,90.0,1.27, TEP  ,4,13,29.75,-69,13,36.6,11.2,9.6,0.142,0.007,2456890.3191,0.0006,3.2888,1e-05,2016A+A...591A..55M,4.28,5800,0.17,0.0449
86,WASP-127,90.0,1.39, TEP  ,10,42,14.08,-3,50,6.3,10.16,8.64,0.1795,0.011,2457248.741276,6.8e-05,4.17807015,5.7e-07,arXiv:1805.11744,4.18,5750,-0.18,0.052
87,WASP-131,90.0,1.526, TEP  ,14,0,46.44,-30,35,0.8,10.08,8.57,0.1596,0.006,2456919.8236,0.0004,5.322023,5e-06,2017MNRAS.465.3693H,4.072,5950,-0.18,0.0597
88,WASP-138,90.0,1.36, TEP  ,2,46,33.37,0,27,50.0,11.81,10.49,0.1572,0.007,2457326.62183,0.00032,3.634433,5e-06,2017A+A...599A...3L,4.25,6300,-0.09,0.0494
89,WASP-140,90.0,0.87, TEP  ,4,1,32.53,-20,27,3.9,11.13,9.17,0.0631,0.019,2456912.35105,0.00015,2.2359835,8e-07,2017MNRAS.465.3693H,4.51,5300,0.12,0.0323
90,WASP-156,90.0,0.76, TEP  ,2,11,7.61,2,25,4.8,11.57,9.34,0.1,0.005,2454677.707,0.002,3.836169,3e-06,2018A+A...610..A63D,4.6,4910,0.24,0.0453
91,WASP-167,90.0,1.79, TEP  ,13,4,10.53,-35,32,58.3,10.53,9.76,0.1135,0.008,2456592.4643,0.0002,2.0219596,6e-07,2017MNRAS.471.2743T,4.13,6900,-0.04,0.0365
92,WASP-173,90.0,1.11, TEP  ,23,36,40.32,-34,36,40.4,11.15,10.0,0.0957,0.013,2457288.8585,0.0002,1.38665318,2.7e-07,arXiv:1803.02224,4.37,5700,0.16,0.0248
93,XO-1,90.0,0.93, TEP  ,16,2,11.84,28,10,10.4,11.14,9.53,0.1238,0.019,2455314.572766,4.9e-05,3.94150514,2e-07,2018MNRAS.481.4261S,4.5089999999999995,5740,-0.03,0.049139999999999996
94,XO-2,90.0,0.998, TEP  ,7,48,6.47,50,13,33.0,11.25,9.31,0.1126,0.014,2454147.75066,0.00012,2.61585937,2.4e-07,2018IBVS.6243....1M,4.44,5332,0.43,0.036160000000000005
95,XO-3,90.0,1.409, TEP  ,4,21,52.7,57,49,1.9,9.91,8.79,0.1192,0.008,2455292.43266,0.00015,3.19153285,5.8e-07,2014ApJ...794..134W,4.2219999999999995,6429,-0.18,0.04529
96,XO-4,90.0,1.554, TEP  ,7,21,33.17,58,16,5.0,10.67,9.41,0.18448,0.008,2454725.18901,0.00025,4.1250707,2.3e-06,2016ApJ...820...87V,4.166,6397,-0.04,0.05485
97,XO-6,90.0,1.93, TEP  ,6,19,10.36,73,49,39.6,10.25,9.25,0.12,0.014,2456652.71245,0.00055,3.765009,4e-06,arXiv:1911.07054,4.04,6720,-0.07,0.0815
98,XO-7,90.0,1.48, TEP  ,18,29,54.93,85,13,59.6,10.52,9.24,0.1155,0.009,2457917.47503,0.00045,2.8641424,4.2999999999999995e-06,arXiv:1912.02821,4.246,6250,0.43200000000000005,0.04421
